zipcode,vendas,preco_mediano,MAE,MAPE_pct,erro_mediano,erro_percentual_mediano,vies_medio,dentro_20_pct
98033,88,665000.0,100734.84474278125,11.890360308768123,67528.52254839387,9.404407681010646,-74001.60357986322,81.81818181818183
98034,95,465000.0,77476.20005817975,11.526757272166432,48604.63667825615,9.992183073262012,-60578.94745038302,84.21052631578947
98038,133,359500.0,45396.88524167402,11.046267712054023,34691.519155112444,9.274568462605028,-22052.036894158642,87.96992481203007
98039,8,1509000.0,193580.0014527897,13.543583868836597,198691.29643766797,13.376300536786445,-97104.4222758101,75.0
98040,66,1085000.0,176269.60218661325,12.905549775110723,111128.56205938157,10.45020898945598,-110390.69125894317,81.81818181818183
98042,130,305500.0,31420.191601755963,10.037787334109138,24749.763966484752,8.336847574938322,-17797.356685252755,90.0
98045,31,415000.0,64234.631904832975,15.96381395581645,38349.234309125226,9.650577809209066,-12447.664972839028,70.96774193548387
98052,99,636000.0,67267.28059613303,9.781226605423186,52428.94351791771,8.129591158904555,-41630.812887581604,94.94949494949495
98053,79,625000.0,62294.86083488875,8.397620650523834,28212.177543386584,5.388091365193826,-41771.114164731385,89.87341772151899
98055,61,305000.0,40431.393696800405,13.256508427512292,26879.00503133278,9.496877237080676,-20351.473536858874,80.32786885245902
98056,93,385000.0,48845.143646381555,10.945385677973054,32889.03649917198,9.550843130678688,-37546.21262573633,83.87096774193549
98058,103,347000.0,37199.40717800402,11.299641809392268,28204.143379759393,7.844992394170436,-17699.98521752838,84.46601941747572
98059,91,436000.0,48526.240587452055,10.567107757298679,35346.75047094037,7.5070548643105655,-33060.001680270514,85.71428571428571
98065,70,506975.0,45631.142805667245,7.449896499568802,32866.88299364885,5.992846141847979,-36687.74130981412,94.28571428571428
98070,20,453750.0,87342.74617048101,16.463000177247373,60976.0151115178,14.08005207068937,-30437.3059624816,70.0
98072,55,515000.0,60291.31892674625,10.912232025302119,53659.380735287035,9.487356263942,-38861.29250855216,92.72727272727272
98074,79,672500.0,74382.07919048656,9.56469949456551,38920.11279982736,6.907793531923121,-28523.480441456148,87.34177215189874
98075,77,785000.0,82087.82173744217,9.111893179402212,51563.06126671878,7.339282519951042,-53837.34281008555,90.9090909090909
98077,37,625000.0,75074.23627874198,9.345645332442508,45917.63809905568,7.41571242122456,-52934.122993201054,94.5945945945946
98092,75,319900.0,34207.70695041242,10.106597573753614,28105.26747950248,7.667481562040523,-3548.7727092666814,89.33333333333333
98102,14,886000.0,140554.09649523237,14.095474005777595,95410.94521110435,12.578725624425168,-113918.17590539511,78.57142857142857
98103,121,600000.0,91406.11191459747,14.668120296490047,69468.33673316089,12.39718639345743,-59996.39593590158,74.3801652892562
98105,49,700000.0,152436.30041166596,13.843589371824383,84961.9566058314,13.019879784999898,-120434.60557381448,73.46938775510205
98106,82,325000.0,67738.2286774121,20.004875076925302,54645.485434015325,16.509433783486536,-27424.873291171145,65.85365853658537
98107,53,600000.0,79065.80434931887,12.018676412391986,55186.19462846912,9.611552444031823,-62958.11762317415,79.24528301886792
98108,31,355000.0,53337.04534334509,14.175050152141832,41615.53016044333,12.812663226737481,-43436.09693575106,77.41935483870968
98109,18,713100.0,175031.16316331795,18.287046116406216,95343.70960726528,15.053993063884004,-82943.50282503122,66.66666666666666
98112,43,1062500.0,208229.54471372842,14.815793539750334,138463.04462655168,11.97723667983291,-151290.02280355507,79.06976744186046
98115,123,600000.0,99449.37936284915,14.245837240717513,71285.5977163827,11.645245460525182,-70413.18957774338,73.98373983739837
98116,78,568975.0,68021.58438814987,10.658139738184751,54921.90643874841,8.52759283247112,-41327.35352967837,87.17948717948718
98117,111,546500.0,76574.5111976121,12.768050297235241,66316.72200822918,12.01865645002083,-55355.68267551285,80.18018018018019
98118,122,420000.0,91883.6083780356,19.41130433992704,75862.24015761096,17.156940600461382,-66440.77189359898,54.91803278688525
98119,33,819000.0,104179.3235233999,11.706923801039297,71891.86684346473,10.496418358212322,-89819.5801289163,75.75757575757575
98122,52,582000.0,92196.07518756342,12.686228957129922,70334.2390513242,11.589932556555247,-35874.75269138802,82.6923076923077
98125,70,431000.0,78698.96967683396,16.111682588249487,54570.77919781837,13.34162959947129,-53457.20050567258,67.14285714285714
98126,67,420000.0,71326.56797011869,15.815754844636357,50977.62388981198,12.274131346507453,-55442.99980356257,67.16417910447761
98133,104,415000.0,57606.64095747355,12.964333309502054,40968.85506220648,11.345735206282775,-43794.347004125666,83.65384615384616
98136,59,548500.0,76575.98067383317,12.699342387643224,49372.669721749146,9.10689216735328,-51348.827566958986,72.88135593220339
98144,79,450000.0,84090.44392823984,14.381633500874683,54611.930772322754,11.65295004564483,-56264.73205554753,74.68354430379746
98146,67,350000.0,76787.94217457333,18.42915425486508,56173.86841851269,17.518229865790328,-48895.15310396756,64.17910447761194
98148,15,280500.0,55518.98604602645,19.96517446929298,37313.69916173327,13.296000581502625,-26009.945909273843,73.33333333333333
98155,88,391200.0,65724.97373712916,15.248455269744943,39408.13749586916,11.065139536047369,-29905.641351199916,75.0
98166,46,434000.0,72944.7311106815,13.342217085197566,44067.97553125769,8.95707570975053,-65841.47687062414,73.91304347826086
98168,46,271475.0,47404.8033735924,18.88105477538884,42340.784021894084,19.416838074928517,-25959.093837706605,54.347826086956516
98177,38,527000.0,104718.13388731335,14.391120827580218,72083.12357848839,13.472614491299232,-64468.273136683165,73.68421052631578
98178,45,288250.0,61120.20330122637,18.16296569946525,53096.57293699635,16.568438720314425,-29426.181992895028,57.77777777777777
98188,31,263000.0,47836.339010130105,15.312201954364395,32490.162183097156,12.732987178024286,-24828.725598770976,74.19354838709677
98198,58,265000.0,48332.92953451802,16.61467448652997,37309.85394585952,14.070919445853656,-22326.50030271754,67.24137931034483
98199,64,725000.0,123386.40774174994,13.043224819086038,63078.07255575905,9.202149714245053,-61904.64788011393,81.25
